name,tf,dicts,corpus,title,dmap
abrir,3831851,1,0.2922,0,abcdfghijklmnopqrst
abris,1850,0.99,0.0006,0,bcdfhij
abriu,1461506,0.999,0.2922,0,bcdfhijm
abstê,22,0.9089,0,0,bcdfhj
abuas,0,0.01,0,0,cfj
abube,0,0.9999,0,0,cdfghijkm
abuce,0,0.01,0,0,cfj
abuco,79,0.01,0,0,cfj
abuda,382,0.01,0,0,cfj
abudo,202,1,0.0001,0,cdfghijkmo
abuis,0,0.01,0,0,cfj
abuiz,13,0.999,0,0,cdfghijk
abula,198,0.5,0.0003,0.0078,cdfhj
abule,21,0.5,0,0,cdfhj
abulo,109,0.99,0,0,cdfghij
abuna,612,1,0.0003,0,cdfghijklmoqst
aburu,0,0.0911,0,0,cfjm
abusa,81149,0.999,0.9624,0.0022,bcdfhijm
abuse,82158,0.99,0.0376,0,bcdfhij
abuso,818811,1,0.4268,0.002,abcdfhijklmnoqrst
abuta,64,1,0.0003,0,acdfghijklmoqs
abuxó,59,0.9999,0,0,cdfghijkm
abuçá,0,0.01,0,0,cfj
acaba,3725513,1,1,0.0529,bcdfghijkm
acabe,292316,0.99,0.1126,0.0024,bcdfhij
acabo,384217,0.999,0.1126,0.0021,bcdfhijm
acace,37,0.01,0.0001,0,cfj
acada,8339,0.5,0.0212,0.0076,cdfhj
acado,698,0.5,0.0011,0,cdfhj
acaia,7961,1,0.0658,0.0474,bcdfghijklmqr
acaio,61,1,0.0001,0,cdfghijklmo
acair,171,0.01,0.0001,0.2248,cfj
acaiu,81,0.01,0.0001,0,cfj
acaju,5564,1,0.0011,0,acdfghjklmoqs
acajá,286,0.9089,0.0002,0.0044,cfjlmq
acale,157,0.01,0.0001,0,cfj
acali,8,0.01,0,0.225,cfj
acalo,1,0.99,0,0,cfgijkm
acama,1364,0.99,0.0066,0.0053,cdfhjmq
acana,1221,1,0.0066,0.004,cdfghijkmo
acane,16,0.999,0,0,cdfghijk
acani,0,0.01,0,0,cfj
acapu,514,1,0.0003,0,acdfghijklmoq
acari,62104,1,0.4268,0.0108,acdfghijklmoqs
acaru,0,0.999,0,0,cdfghijk
acará,11189,1,0.2922,0.0041,acdfghijklmoqst
acasa,4132,0.01,0.002,0.1327,cfj
acaso,1526399,1,0.5732,0,abcdfghijklmoqrst
acata,22704,0.999,0.8874,0.0021,bcdfhijm
acate,9227,0.99,0.0119,0.0041,bcdfhij
acato,3870,1,0.2922,0.002,abcdfghijklmnoqrst
acauã,17675,1,0.1126,0.005,acdfghijkoqs
acava,249,0.01,0,0,lmq
acaxa,0,0.999,0,0,cdfghijk
acaço,0,0.01,0,0,cfj
acaçá,3703,1,0.0376,0.0073,acdfghijklmoqt
acaém,13,1,0,0,cdfghijkmq
acaés,62,0.01,0,0,cfj
aceba,24,0.01,0,0.1452,cfj
acebe,30,0.01,0,0,cfj
acebo,563,0.01,0.0002,0,cfj
aceca,240,0.999,0.0003,0,cdfhjoqt
aceda,52188,0.5,0.0066,0,cdfhj
acede,24570,0.5,0.1126,0,cdfhj
acedi,3410,0.5,0.0037,0,cdfhj
acedo,3115,0.5,0.0003,0,cdfhj
acefe,11,0.9999,0,0,cdfghijkm
aceja,4,0.01,0,0,cfj
aceje,0,0.01,0,0,cfj
acejo,0,0.01,0,0,cfj
acela,97,0.01,0.0001,0,cfj
acelo,141,0.9089,0.0001,0,cdfhjo
acena,43697,1,0.8874,0.0022,bcdfhijlmq
acene,4059,0.99,0.002,0,bcdfhij
aceno,44354,1,0.1126,0,abcdfhijklmnoqrst
acera,5502,0.5,0.1863,0.0082,cdfhj
acere,154,0.5,0.0002,0,cdfhj
acero,11844,1,0.1863,0.0024,cdfghijklmoqs
acesa,177397,0.99,0.1863,0,bcdfhij
aceso,91273,1,0.2922,0,abcdfghijklmnoqrst
aceta,381,0.5,0.0003,0.0077,cdfhj
acete,131,0.5,0,0,cdfhj
aceto,6049,1,0.0003,0,bcdfghijklmqs
aceva,0,0.5,0,0,cdfhj
aceve,0,0.5,0,0,cdfhj
acevo,178,0.5,0.0006,0,cdfhj
achai,748,0.99,0.0003,0,bcdfhij
acham,1444697,0.99,0.4268,0,bcdfhij
achar,2737013,1,0.4268,0,abcdfghijklmopqrst
achas,122997,0.99,0.0376,0,bcdfhij
achei,3891220,0.99,0.1126,0,bcdfhij
achem,54686,1,0.4268,0.002,bcdfghijklmo
aches,4207,0.99,0.0066,0.0041,bcdfhij
achim,469,0.5,0.0002,0,cfjlm
achis,2,0.01,0,0.225,cfj
achoa,1418,0.999,0.0212,0.4951,cdfghijk
achoe,213,0.5,0,0,cdfhj
achoo,4640,0.5,0.0003,0,cdfhj
achou,1732574,0.99,0.2922,0,bcdfhij
acibe,0,0.9999,0,0,cdfghijkm
acica,703,0.999,0.0001,0.004,cdfghjmo
acide,1551,0.5,0.0011,0,cdfhj
acila,1207,0.99,0.0119,0.004,cdfhjmo
acile,0,0.5,0,0,cdfhj
acilo,324,0.9089,0.0003,0,cdfhjq
acima,8026440,1,0.9999,0.3182,abcdfghijklmnopqrst
acime,2240,0.01,0.0001,0,cfj
acimo,252,0.01,0.0001,0,cfj
acioa,0,0.9999,0,0,cdfghijkm
acisa,1263,0.01,0,0,cfj
aciso,1530,0.999,0.0001,0,cdfghijk
acles,15,0.01,0,0,cfj
aclia,60,0.9089,0,0,cfjlmq
aclio,26,0.999,0,0,cdfghijk
acmes,22,0.5,0,0,cdfhj
acmos,311,0.01,0,0,cfj
acmão,13,0.999,0,0,cdfghijk
acnas,0,0.01,0,0,cfj
acnes,16174,0.9089,0.0066,0,cdefhj
acoai,11,0.5,0,0,cdfhj
acoam,2,0.5,0,0,cdfhj
acoar,132,0.9999,0.0001,0,cdfhjmoqt
acoas,29,0.5,0,0,cdfhj
acobu,0,0.01,0,0,cfj
acoce,16,0.01,0,0,cfj
acoco,1,0.5,0,0,cdfhj
acode,10586,0.99,0.1126,0,bcdfhij
acoei,0,0.5,0,0,cdfhj
acoem,1137,0.5,0,0,cdfhj
acole,78,0.999,0,0,cdfghijk
acoli,781,0.999,0.0001,0,cdfghijk
acolo,171,0.01,0.0002,0,cfj
acolá,84828,1,0.8137,0.002,abcdfghijklmnoqrst
acone,13,0.01,0,0,cfj
aconá,225,0.9999,0.0006,0.0079,cdfghijkm
acoou,7,0.5,0,0,cdfhj
acori,55,0.999,0.0001,0.004,cdfhjlmo
acota,165,0.01,0.0002,0.1268,cfj
acote,210,0.01,0,0.1835,cfj
acoto,27,0.01,0.0001,0.225,cfj
acova,63,0.5,0.0001,0.0078,cdfhj
acove,21,0.5,0,0,cdfhj
acovo,0,0.5,0,0,cdfhj
acral,1684,0.9999,0.0003,0,cdfghijkm
acras,711,0.5,0.002,0.0079,cdfhj
acres,34780,0.9089,0.0376,0,cdfghj
acrol,45,0.9999,0,0,cdfghijkm
acros,429,0.5,0.0001,0,cdfhj
acroá,3,0.99,0,0,cdfhjmo
acréu,14,1,0,0,cdfghijkms
actel,163,0.999,0,0,cdfghijk
acuai,0,0.99,0,0,bcdfhij
acuam,425,0.99,0.0001,0,bcdfhij
acuar,2965,1,0.0066,0.004,abcdfghijklmnoqrst
acuas,100,0.99,0,0,bcdfhij
acucu,1,0.01,0,0,cfj
acudi,2752,0.99,0.0011,0,bcdfhij
acudo,471,0.99,0.0011,0,bcdfhij
acuei,42,0.99,0.0001,0,bcdfhij
acuem,32,0.9999,0.0001,0,bcdfghijk
acues,0,0.99,0,0,bcdfhij
acume,280,1,0.0011,0,cdfghijklmoqrst
acumã,297,0.99,0.0002,0,cdfghjo
acuna,296,0.9999,0.0003,0,cdfghijkm
acuos,0,0.999,0,0,cdfghijk
acuou,1188,0.99,0.002,0.0041,bcdfhij
acura,8327,0.5,0.0658,0.0089,cdfhj
acuri,388,0.9089,0.0002,0.0044,cdfhjm
acuro,200,0.5,0,0,cdfhj
acuré,22,1,0.0002,0.002,cdfghijkmo
acusa,325691,0.999,0.9788,0.0017,bcdfghij
acuse,14745,0.9999,0.0376,0,bcdfhijlm
acuso,11961,1,0.0119,0,bcdfhijlmq
acuta,684,1,0.0011,0,cdfghijklmoqst
acuti,236,1,0.0003,0.004,cdfghijkmos
acuís,1,0.01,0,0,cfj
acéns,0,0.01,0,0,cfj
adaba,97,0.9999,0,0,cdfghijkq
adaca,65,1,0,0,cdfghijklmq
adace,29,0.01,0,0,cfj
adaga,28681,1,0.0119,0,abcdfhijklmoqrs
adage,359,0.9999,0.0001,0,cdfghijko
adail,2305,1,0.0011,0.004,acdfghijklmoqs
adali,33,0.9999,0.0001,0.004,cdfghijkm
adama,8041,0.5,0.0658,0.0087,cdfhj
adame,228,0.5,0.0001,0,cdfhj
adamo,2547,0.99,0.0002,0,cdfhjmo
adana,5190,0.0911,0.0376,0.1417,cfjr
adane,25,0.01,0,0,cfj
adano,52,0.0911,0.0001,0,cfjm
adaus,0,0.01,0,0,cfj
adaís,102,0.9089,0.002,0.0044,cdfghj
adebá,337,0.99,0.0001,0.0041,cdfghjk
adega,211954,1,0.9788,0.0302,abcdfhijklmnoqrst
adege,14,0.999,0,0,cdfghijk
adego,16,0.5,0,0,cdfhj
adeja,1244,0.5,0.0212,0.0152,cdfhj
adeje,313,0.5,0,0,cdfhj
adejo,572,1,0.0002,0,cdfhjklmoqst
adela,912,1,0.0037,0.004,cdfhjlmoqs
adele,11774,0.999,0.0037,0.0081,cdfghijk
adelo,269,1,0.0003,0,acdfghijklmoqst
adema,1076,1,0.0006,0,cdfghijklmoqst
adeos,248,0.001,0.0001,0,lq
adera,259,0.01,0.0003,0.1271,cfj
adere,86999,0.99,0.2922,0,bcdfhij
aderi,22154,0.99,0.0119,0.0041,bcdfhij
adero,17,0.01,0.0001,0,cfj
adesa,731,0.5,0.0001,0,cdfhj
adeso,284,1,0.0001,0,cdfghijklmoqst
adeus,527698,1,0.2922,0.002,abcdfghijklmnoqrst
adevã,1019,0.01,0.0001,0,cfj
adiai,22,0.99,0.0001,0,bcdfhij
adiam,12684,0.99,0.0066,0,bcdfhij
adiar,201924,1,0.2922,0,abcdfghijklmnoqrst
adias,1124,0.99,0.0002,0,bcdfhij
adiba,12,0.01,0,0,cfj
adibe,740,1,0.0066,0.0041,cdfghijklmoqs
adibo,40,0.999,0,0,cdfghijk
adica,4027,0.99,0.4268,0.0672,cfjlmqs
adico,69,0.01,0,0.1836,cfj
adida,1158,0.99,0.0003,0,bcdfhij
adido,14132,1,0.0376,0,abcdfhijklmnoqrst
adiei,6899,0.99,0.0066,0,bcdfhij
